"Notes"	"Year"	"Year Code"	"State"	"State Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"Colorado"	"08"	"65-74 years"	"65-74"	"Female"	"F"	2131	120043	1775.2
	"1999"	"1999"	"Colorado"	"08"	"65-74 years"	"65-74"	"Male"	"M"	2669	103120	2588.2
	"1999"	"1999"	"Colorado"	"08"	"75-84 years"	"75-84"	"Female"	"F"	3760	82453	4560.2
	"1999"	"1999"	"Colorado"	"08"	"75-84 years"	"75-84"	"Male"	"M"	3755	56168	6685.3
	"1999"	"1999"	"Colorado"	"08"	"85+ years"	"85+"	"Female"	"F"	4848	33444	14495.9
	"1999"	"1999"	"Colorado"	"08"	"85+ years"	"85+"	"Male"	"M"	2392	13681	17484.1
	"1999"	"1999"	"Connecticut"	"09"	"< 1 year"	"1"	"Female"	"F"	118	20757	568.5
	"1999"	"1999"	"Connecticut"	"09"	"< 1 year"	"1"	"Male"	"M"	146	21725	672.0
	"1999"	"1999"	"Connecticut"	"09"	"1-4 years"	"1-4"	"Female"	"F"	11	87703	Unreliable
	"1999"	"1999"	"Connecticut"	"09"	"1-4 years"	"1-4"	"Male"	"M"	24	91635	26.2
	"1999"	"1999"	"Connecticut"	"09"	"5-14 years"	"5-14"	"Female"	"F"	28	233974	12.0
	"1999"	"1999"	"Connecticut"	"09"	"5-14 years"	"5-14"	"Male"	"M"	43	245441	17.5
	"1999"	"1999"	"Connecticut"	"09"	"15-24 years"	"15-24"	"Female"	"F"	59	194353	30.4
	"1999"	"1999"	"Connecticut"	"09"	"15-24 years"	"15-24"	"Male"	"M"	195	202733	96.2
	"1999"	"1999"	"Connecticut"	"09"	"25-34 years"	"25-34"	"Female"	"F"	113	233539	48.4
	"1999"	"1999"	"Connecticut"	"09"	"25-34 years"	"25-34"	"Male"	"M"	276	226964	121.6
	"1999"	"1999"	"Connecticut"	"09"	"35-44 years"	"35-44"	"Female"	"F"	351	293954	119.4
	"1999"	"1999"	"Connecticut"	"09"	"35-44 years"	"35-44"	"Male"	"M"	558	283507	196.8
	"1999"	"1999"	"Connecticut"	"09"	"45-54 years"	"45-54"	"Female"	"F"	618	240139	257.4
	"1999"	"1999"	"Connecticut"	"09"	"45-54 years"	"45-54"	"Male"	"M"	1021	227803	448.2
	"1999"	"1999"	"Connecticut"	"09"	"55-64 years"	"55-64"	"Female"	"F"	1005	157004	640.1
	"1999"	"1999"	"Connecticut"	"09"	"55-64 years"	"55-64"	"Male"	"M"	1545	144739	1067.4
	"1999"	"1999"	"Connecticut"	"09"	"65-74 years"	"65-74"	"Female"	"F"	2221	128837	1723.9
	"1999"	"1999"	"Connecticut"	"09"	"65-74 years"	"65-74"	"Male"	"M"	2765	104091	2656.3
	"1999"	"1999"	"Connecticut"	"09"	"75-84 years"	"75-84"	"Female"	"F"	4711	105671	4458.2
	"1999"	"1999"	"Connecticut"	"09"	"75-84 years"	"75-84"	"Male"	"M"	4383	67312	6511.5
	"1999"	"1999"	"Connecticut"	"09"	"85+ years"	"85+"	"Female"	"F"	6238	45466	13720.1
	"1999"	"1999"	"Connecticut"	"09"	"85+ years"	"85+"	"Male"	"M"	2995	17294	17318.1
	"1999"	"1999"	"Delaware"	"10"	"< 1 year"	"1"	"Female"	"F"	25	4936	506.5
	"1999"	"1999"	"Delaware"	"10"	"< 1 year"	"1"	"Male"	"M"	54	5260	1026.6
	"1999"	"1999"	"Delaware"	"10"	"5-14 years"	"5-14"	"Female"	"F"	11	53216	Unreliable
	"1999"	"1999"	"Delaware"	"10"	"15-24 years"	"15-24"	"Female"	"F"	18	52322	Unreliable
	"1999"	"1999"	"Delaware"	"10"	"15-24 years"	"15-24"	"Male"	"M"	41	52140	78.6
	"1999"	"1999"	"Delaware"	"10"	"25-34 years"	"25-34"	"Female"	"F"	31	55864	55.5
	"1999"	"1999"	"Delaware"	"10"	"25-34 years"	"25-34"	"Male"	"M"	77	54685	140.8
	"1999"	"1999"	"Delaware"	"10"	"35-44 years"	"35-44"	"Female"	"F"	112	64227	174.4
	"1999"	"1999"	"Delaware"	"10"	"35-44 years"	"35-44"	"Male"	"M"	185	62045	298.2
	"1999"	"1999"	"Delaware"	"10"	"45-54 years"	"45-54"	"Female"	"F"	148	51898	285.2
	"1999"	"1999"	"Delaware"	"10"	"45-54 years"	"45-54"	"Male"	"M"	278	48532	572.8
	"1999"	"1999"	"Delaware"	"10"	"55-64 years"	"55-64"	"Female"	"F"	275	36527	752.9
	"1999"	"1999"	"Delaware"	"10"	"55-64 years"	"55-64"	"Male"	"M"	397	33106	1199.2
	"1999"	"1999"	"Delaware"	"10"	"65-74 years"	"65-74"	"Female"	"F"	636	30302	2098.9
	"1999"	"1999"	"Delaware"	"10"	"65-74 years"	"65-74"	"Male"	"M"	811	25717	3153.6
	"1999"	"1999"	"Delaware"	"10"	"75-84 years"	"75-84"	"Female"	"F"	1009	20499	4922.2
	"1999"	"1999"	"Delaware"	"10"	"75-84 years"	"75-84"	"Male"	"M"	979	13566	7216.6
	"1999"	"1999"	"Delaware"	"10"	"85+ years"	"85+"	"Female"	"F"	1045	7381	14158.0
	"1999"	"1999"	"Delaware"	"10"	"85+ years"	"85+"	"Male"	"M"	500	2843	17587.1
	"1999"	"1999"	"District of Columbia"	"11"	"< 1 year"	"1"	"Female"	"F"	53	3142	1686.8
	"1999"	"1999"	"District of Columbia"	"11"	"< 1 year"	"1"	"Male"	"M"	60	3282	1828.2
	"1999"	"1999"	"District of Columbia"	"11"	"5-14 years"	"5-14"	"Male"	"M"	11	32633	Unreliable
	"1999"	"1999"	"District of Columbia"	"11"	"15-24 years"	"15-24"	"Female"	"F"	26	45387	57.3
	"1999"	"1999"	"District of Columbia"	"11"	"15-24 years"	"15-24"	"Male"	"M"	98	39552	247.8
	"1999"	"1999"	"District of Columbia"	"11"	"25-34 years"	"25-34"	"Female"	"F"	47	54544	86.2
	"1999"	"1999"	"District of Columbia"	"11"	"25-34 years"	"25-34"	"Male"	"M"	130	51741	251.3
	"1999"	"1999"	"District of Columbia"	"11"	"35-44 years"	"35-44"	"Female"	"F"	129	43871	294.0
	"1999"	"1999"	"District of Columbia"	"11"	"35-44 years"	"35-44"	"Male"	"M"	257	43913	585.2
	"1999"	"1999"	"District of Columbia"	"11"	"45-54 years"	"45-54"	"Female"	"F"	234	38698	604.7
	"1999"	"1999"	"District of Columbia"	"11"	"45-54 years"	"45-54"	"Male"	"M"	412	34222	1203.9
	"1999"	"1999"	"District of Columbia"	"11"	"55-64 years"	"55-64"	"Female"	"F"	259	26359	982.6
	"1999"	"1999"	"District of Columbia"	"11"	"55-64 years"	"55-64"	"Male"	"M"	456	22153	2058.4
	"1999"	"1999"	"District of Columbia"	"11"	"65-74 years"	"65-74"	"Female"	"F"	486	21146	2298.3
	"1999"	"1999"	"District of Columbia"	"11"	"65-74 years"	"65-74"	"Male"	"M"	582	15313	3800.7
	"1999"	"1999"	"District of Columbia"	"11"	"75-84 years"	"75-84"	"Female"	"F"	806	15850	5085.2
	"1999"	"1999"	"District of Columbia"	"11"	"75-84 years"	"75-84"	"Male"	"M"	706	8891	7940.6
	"1999"	"1999"	"District of Columbia"	"11"	"85+ years"	"85+"	"Female"	"F"	910	6389	14243.2
	"1999"	"1999"	"District of Columbia"	"11"	"85+ years"	"85+"	"Male"	"M"	385	2349	16390.0
	"1999"	"1999"	"Florida"	"12"	"< 1 year"	"1"	"Female"	"F"	662	91441	724.0
	"1999"	"1999"	"Florida"	"12"	"< 1 year"	"1"	"Male"	"M"	788	95518	825.0
	"1999"	"1999"	"Florida"	"12"	"1-4 years"	"1-4"	"Female"	"F"	149	365760	40.7
	"1999"	"1999"	"Florida"	"12"	"1-4 years"	"1-4"	"Male"	"M"	180	385204	46.7
	"1999"	"1999"	"Florida"	"12"	"5-14 years"	"5-14"	"Female"	"F"	157	1003870	15.6
	"1999"	"1999"	"Florida"	"12"	"5-14 years"	"5-14"	"Male"	"M"	241	1055628	22.8
	"1999"	"1999"	"Florida"	"12"	"15-24 years"	"15-24"	"Female"	"F"	465	920512	50.5
	"1999"	"1999"	"Florida"	"12"	"15-24 years"	"15-24"	"Male"	"M"	1113	969461	114.8
	"1999"	"1999"	"Florida"	"12"	"25-34 years"	"25-34"	"Female"	"F"	811	1031571	78.6
	"1999"	"1999"	"Florida"	"12"	"25-34 years"	"25-34"	"Male"	"M"	1728	1051233	164.4
	"1999"	"1999"	"Florida"	"12"	"35-44 years"	"35-44"	"Female"	"F"	2062	1227720	168.0
	"1999"	"1999"	"Florida"	"12"	"35-44 years"	"35-44"	"Male"	"M"	3633	1217427	298.4
	"1999"	"1999"	"Florida"	"12"	"45-54 years"	"45-54"	"Female"	"F"	3326	1021000	325.8
	"1999"	"1999"	"Florida"	"12"	"45-54 years"	"45-54"	"Male"	"M"	5836	962506	606.3
	"1999"	"1999"	"Florida"	"12"	"55-64 years"	"55-64"	"Female"	"F"	5782	798449	724.2
	"1999"	"1999"	"Florida"	"12"	"55-64 years"	"55-64"	"Male"	"M"	9095	706583	1287.2
	"1999"	"1999"	"Florida"	"12"	"65-74 years"	"65-74"	"Female"	"F"	12861	789294	1629.4
	"1999"	"1999"	"Florida"	"12"	"65-74 years"	"65-74"	"Male"	"M"	17647	671346	2628.6
	"1999"	"1999"	"Florida"	"12"	"75-84 years"	"75-84"	"Female"	"F"	24262	580771	4177.6
	"1999"	"1999"	"Florida"	"12"	"75-84 years"	"75-84"	"Male"	"M"	25762	430575	5983.2
	"1999"	"1999"	"Florida"	"12"	"85+ years"	"85+"	"Female"	"F"	29562	214106	13807.2
	"1999"	"1999"	"Florida"	"12"	"85+ years"	"85+"	"Male"	"M"	16933	108533	15601.7
	"1999"	"1999"	"Georgia"	"13"	"< 1 year"	"1"	"Female"	"F"	452	58240	776.1
	"1999"	"1999"	"Georgia"	"13"	"< 1 year"	"1"	"Male"	"M"	580	61333	945.7
	"1999"	"1999"	"Georgia"	"13"	"1-4 years"	"1-4"	"Female"	"F"	69	226136	30.5
	"1999"	"1999"	"Georgia"	"13"	"1-4 years"	"1-4"	"Male"	"M"	101	235860	42.8
	"1999"	"1999"	"Georgia"	"13"	"5-14 years"	"5-14"	"Female"	"F"	108	585073	18.5
	"1999"	"1999"	"Georgia"	"13"	"5-14 years"	"5-14"	"Male"	"M"	177	612379	28.9
	"1999"	"1999"	"Georgia"	"13"	"15-24 years"	"15-24"	"Female"	"F"	273	560856	48.7
	"1999"	"1999"	"Georgia"	"13"	"15-24 years"	"15-24"	"Male"	"M"	744	599538	124.1
	"1999"	"1999"	"Georgia"	"13"	"25-34 years"	"25-34"	"Female"	"F"	498	640926	77.7
	"1999"	"1999"	"Georgia"	"13"	"25-34 years"	"25-34"	"Male"	"M"	1007	649231	155.1
	"1999"	"1999"	"Georgia"	"13"	"35-44 years"	"35-44"	"Female"	"F"	1133	673054	168.3
	"1999"	"1999"	"Georgia"	"13"	"35-44 years"	"35-44"	"Male"	"M"	1918	658297	291.4
	"1999"	"1999"	"Georgia"	"13"	"45-54 years"	"45-54"	"Female"	"F"	1883	536522	351.0
	"1999"	"1999"	"Georgia"	"13"	"45-54 years"	"45-54"	"Male"	"M"	3215	507216	633.9
	"1999"	"1999"	"Georgia"	"13"	"55-64 years"	"55-64"	"Female"	"F"	3040	333897	910.5
	"1999"	"1999"	"Georgia"	"13"	"55-64 years"	"55-64"	"Male"	"M"	4562	307726	1482.5
	"1999"	"1999"	"Georgia"	"13"	"65-74 years"	"65-74"	"Female"	"F"	5253	240986	2179.8
	"1999"	"1999"	"Georgia"	"13"	"65-74 years"	"65-74"	"Male"	"M"	6873	189837	3620.5
	"1999"	"1999"	"Georgia"	"13"	"75-84 years"	"75-84"	"Female"	"F"	8748	165715	5278.9
	"1999"	"1999"	"Georgia"	"13"	"75-84 years"	"75-84"	"Male"	"M"	7583	95283	7958.4
	"1999"	"1999"	"Georgia"	"13"	"85+ years"	"85+"	"Female"	"F"	9667	64616	14960.7
	"1999"	"1999"	"Georgia"	"13"	"85+ years"	"85+"	"Male"	"M"	4072	21761	18712.4
	"1999"	"1999"	"Hawaii"	"15"	"< 1 year"	"1"	"Female"	"F"	57	7548	755.2
	"1999"	"1999"	"Hawaii"	"15"	"< 1 year"	"1"	"Male"	"M"	63	7919	795.6
	"1999"	"1999"	"Hawaii"	"15"	"15-24 years"	"15-24"	"Female"	"F"	28	76159	36.8
	"1999"	"1999"	"Hawaii"	"15"	"15-24 years"	"15-24"	"Male"	"M"	54	87249	61.9
	"1999"	"1999"	"Hawaii"	"15"	"25-34 years"	"25-34"	"Female"	"F"	53	83795	63.2
	"1999"	"1999"	"Hawaii"	"15"	"25-34 years"	"25-34"	"Male"	"M"	101	89551	112.8
	"1999"	"1999"	"Hawaii"	"15"	"35-44 years"	"35-44"	"Female"	"F"	87	94925	91.7
	"1999"	"1999"	"Hawaii"	"15"	"35-44 years"	"35-44"	"Male"	"M"	226	97211	232.5
	"1999"	"1999"	"Hawaii"	"15"	"45-54 years"	"45-54"	"Female"	"F"	192	83197	230.8
	"1999"	"1999"	"Hawaii"	"15"	"45-54 years"	"45-54"	"Male"	"M"	380	83335	456.0
	"1999"	"1999"	"Hawaii"	"15"	"55-64 years"	"55-64"	"Female"	"F"	323	53057	608.8
	"1999"	"1999"	"Hawaii"	"15"	"55-64 years"	"55-64"	"Male"	"M"	528	50273	1050.3
	"1999"	"1999"	"Hawaii"	"15"	"65-74 years"	"65-74"	"Female"	"F"	630	46786	1346.6
	"1999"	"1999"	"Hawaii"	"15"	"65-74 years"	"65-74"	"Male"	"M"	946	38553	2453.8
	"1999"	"1999"	"Hawaii"	"15"	"75-84 years"	"75-84"	"Female"	"F"	1062	31065	3418.6
	"1999"	"1999"	"Hawaii"	"15"	"75-84 years"	"75-84"	"Male"	"M"	1347	24967	5395.1
	"1999"	"1999"	"Hawaii"	"15"	"85+ years"	"85+"	"Female"	"F"	1099	9825	11185.8
	"1999"	"1999"	"Hawaii"	"15"	"85+ years"	"85+"	"Male"	"M"	1039	7071	14693.8
	"1999"	"1999"	"Idaho"	"16"	"< 1 year"	"1"	"Female"	"F"	61	9354	652.1
	"1999"	"1999"	"Idaho"	"16"	"< 1 year"	"1"	"Male"	"M"	69	9798	704.2
	"1999"	"1999"	"Idaho"	"16"	"1-4 years"	"1-4"	"Female"	"F"	12	36628	Unreliable
