Program,Year,State,State ANSI,Data Item,Value
SURVEY,2017,NEBRASKA,31,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.3
SURVEY,2017,NEW JERSEY,34,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.75
SURVEY,2017,NEW MEXICO,35,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.85
SURVEY,2017,NEW YORK,36,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.85
SURVEY,2017,NORTH CAROLINA,37,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.2
SURVEY,2017,NORTH DAKOTA,38,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.9
SURVEY,2017,OHIO,39,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.55
SURVEY,2017,OKLAHOMA,40,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.4
SURVEY,2017,OREGON,41,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.85
SURVEY,2017,PENNSYLVANIA,42,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.8
SURVEY,2017,SOUTH CAROLINA,45,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.25
SURVEY,2017,SOUTH DAKOTA,46,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3
SURVEY,2017,TENNESSEE,47,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.55
SURVEY,2017,TEXAS,48,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.75
SURVEY,2017,UTAH,49,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.65
SURVEY,2017,VIRGINIA,51,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.8
SURVEY,2017,WASHINGTON,53,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.25
SURVEY,2017,WEST VIRGINIA,54,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.8
SURVEY,2017,WISCONSIN,55,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.25
SURVEY,2017,WYOMING,56,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.25
SURVEY,2016,ALABAMA,1,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.63
SURVEY,2016,ARIZONA,4,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.73
SURVEY,2016,ARKANSAS,5,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.69
SURVEY,2016,CALIFORNIA,6,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.69
SURVEY,2016,COLORADO,8,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.42
SURVEY,2016,DELAWARE,10,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.09
SURVEY,2016,FLORIDA,12,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.93
SURVEY,2016,GEORGIA,13,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.88
SURVEY,2016,IDAHO,16,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.44
SURVEY,2016,ILLINOIS,17,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.43
SURVEY,2016,INDIANA,18,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.63
SURVEY,2016,IOWA,19,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.3
SURVEY,2016,KANSAS,20,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.2
SURVEY,2016,KENTUCKY,21,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.74
SURVEY,2016,LOUISIANA,22,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.7
SURVEY,2016,MARYLAND,24,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.05
SURVEY,2016,MICHIGAN,26,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.44
SURVEY,2016,MINNESOTA,27,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.21
SURVEY,2016,MISSISSIPPI,28,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.74
SURVEY,2016,MISSOURI,29,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.4
SURVEY,2016,MONTANA,30,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.15
SURVEY,2016,NEBRASKA,31,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.32
SURVEY,2016,NEW JERSEY,34,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.9
SURVEY,2016,NEW MEXICO,35,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.93
SURVEY,2016,NEW YORK,36,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.9
SURVEY,2016,NORTH CAROLINA,37,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.07
SURVEY,2016,NORTH DAKOTA,38,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.01
SURVEY,2016,OHIO,39,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.61
SURVEY,2016,OKLAHOMA,40,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.39
SURVEY,2016,OREGON,41,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.25
SURVEY,2016,PENNSYLVANIA,42,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.04
SURVEY,2016,SOUTH CAROLINA,45,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.69
SURVEY,2016,SOUTH DAKOTA,46,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.09
SURVEY,2016,TENNESSEE,47,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.66
SURVEY,2016,TEXAS,48,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.71
SURVEY,2016,UTAH,49,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.87
SURVEY,2016,VIRGINIA,51,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4
SURVEY,2016,WASHINGTON,53,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.71
SURVEY,2016,WEST VIRGINIA,54,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.9
SURVEY,2016,WISCONSIN,55,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.28
SURVEY,2016,WYOMING,56,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.39
SURVEY,2015,ALABAMA,1,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.74
SURVEY,2015,ARIZONA,4,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.98
SURVEY,2015,ARKANSAS,5,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.11
SURVEY,2015,CALIFORNIA,6,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.39
SURVEY,2015,COLORADO,8,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.69
SURVEY,2015,DELAWARE,10,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.88
SURVEY,2015,FLORIDA,12,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.8
SURVEY,2015,GEORGIA,13,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.9
SURVEY,2015,IDAHO,16,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.71
SURVEY,2015,ILLINOIS,17,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.69
SURVEY,2015,INDIANA,18,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.92
SURVEY,2015,IOWA,19,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.52
SURVEY,2015,KANSAS,20,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.69
SURVEY,2015,KENTUCKY,21,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.88
SURVEY,2015,LOUISIANA,22,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4
SURVEY,2015,MARYLAND,24,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.88
SURVEY,2015,MICHIGAN,26,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.63
SURVEY,2015,MINNESOTA,27,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.37
SURVEY,2015,MISSISSIPPI,28,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.01
SURVEY,2015,MISSOURI,29,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.69
SURVEY,2015,MONTANA,30,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.01
SURVEY,2015,NEBRASKA,31,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.57
SURVEY,2015,NEW JERSEY,34,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.85
SURVEY,2015,NEW MEXICO,35,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.58
SURVEY,2015,NEW YORK,36,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.01
SURVEY,2015,NORTH CAROLINA,37,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.32
SURVEY,2015,NORTH DAKOTA,38,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.28
SURVEY,2015,OHIO,39,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.89
SURVEY,2015,OKLAHOMA,40,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.93
SURVEY,2015,OREGON,41,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4
SURVEY,2015,PENNSYLVANIA,42,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.97
SURVEY,2015,SOUTH CAROLINA,45,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.06
SURVEY,2015,SOUTH DAKOTA,46,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.3
SURVEY,2015,TENNESSEE,47,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.92
SURVEY,2015,TEXAS,48,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.2
SURVEY,2015,UTAH,49,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.68
SURVEY,2015,VIRGINIA,51,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.05
SURVEY,2015,WASHINGTON,53,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.3
SURVEY,2015,WEST VIRGINIA,54,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.95
SURVEY,2015,WISCONSIN,55,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.46
SURVEY,2015,WYOMING,56,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.44
SURVEY,2014,ALABAMA,1,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.75
SURVEY,2014,ARIZONA,4,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",5.36
SURVEY,2014,ARKANSAS,5,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.13
SURVEY,2014,CALIFORNIA,6,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.81
SURVEY,2014,COLORADO,8,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.95
SURVEY,2014,DELAWARE,10,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.83
SURVEY,2014,FLORIDA,12,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.65
SURVEY,2014,GEORGIA,13,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.17
SURVEY,2014,IDAHO,16,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.16
SURVEY,2014,ILLINOIS,17,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.71
SURVEY,2014,INDIANA,18,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.75
SURVEY,2014,IOWA,19,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.71
SURVEY,2014,KANSAS,20,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.78
SURVEY,2014,KENTUCKY,21,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.94
SURVEY,2014,LOUISIANA,22,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.15
SURVEY,2014,MARYLAND,24,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.79
SURVEY,2014,MICHIGAN,26,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.65
SURVEY,2014,MINNESOTA,27,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.58
SURVEY,2014,MISSISSIPPI,28,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.24
SURVEY,2014,MISSOURI,29,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.54
SURVEY,2014,MONTANA,30,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.77
SURVEY,2014,NEBRASKA,31,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.77
SURVEY,2014,NEW JERSEY,34,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.8
SURVEY,2014,NEW MEXICO,35,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.35
SURVEY,2014,NEW YORK,36,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.11
SURVEY,2014,NORTH CAROLINA,37,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.19
SURVEY,2014,NORTH DAKOTA,38,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.34
SURVEY,2014,OHIO,39,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.78
SURVEY,2014,OKLAHOMA,40,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.11
SURVEY,2014,OREGON,41,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.45
SURVEY,2014,PENNSYLVANIA,42,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.9
SURVEY,2014,SOUTH CAROLINA,45,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.9
SURVEY,2014,SOUTH DAKOTA,46,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.34
SURVEY,2014,TENNESSEE,47,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.81
SURVEY,2014,TEXAS,48,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.42
SURVEY,2014,UTAH,49,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.13
SURVEY,2014,VIRGINIA,51,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.9
SURVEY,2014,WASHINGTON,53,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.9
SURVEY,2014,WEST VIRGINIA,54,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.85
SURVEY,2014,WISCONSIN,55,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.67
SURVEY,2014,WYOMING,56,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.8
SURVEY,2013,ALABAMA,1,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.71
SURVEY,2013,ARIZONA,4,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",5.89
SURVEY,2013,ARKANSAS,5,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",5.12
SURVEY,2013,CALIFORNIA,6,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",5.33
SURVEY,2013,COLORADO,8,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.61
SURVEY,2013,DELAWARE,10,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.94
SURVEY,2013,FLORIDA,12,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.51
SURVEY,2013,GEORGIA,13,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",5.17
SURVEY,2013,IDAHO,16,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.91
SURVEY,2013,ILLINOIS,17,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.52
SURVEY,2013,INDIANA,18,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.47
SURVEY,2013,IOWA,19,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.49
SURVEY,2013,KANSAS,20,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.49
SURVEY,2013,KENTUCKY,21,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.67
SURVEY,2013,LOUISIANA,22,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",5.1
SURVEY,2013,MARYLAND,24,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.84
SURVEY,2013,MICHIGAN,26,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.18
SURVEY,2013,MINNESOTA,27,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.3
SURVEY,2013,MISSISSIPPI,28,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",5.05
SURVEY,2013,MISSOURI,29,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.57
SURVEY,2013,MONTANA,30,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.27
SURVEY,2013,NEBRASKA,31,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.47
SURVEY,2013,NEW JERSEY,34,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.66
SURVEY,2013,NEW MEXICO,35,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",5.18
SURVEY,2013,NEW YORK,36,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.52
SURVEY,2013,NORTH CAROLINA,37,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.96
SURVEY,2013,NORTH DAKOTA,38,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.91
SURVEY,2013,OHIO,39,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.41
SURVEY,2013,OKLAHOMA,40,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",5.09
SURVEY,2013,OREGON,41,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",5.44
SURVEY,2013,PENNSYLVANIA,42,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.47
SURVEY,2013,SOUTH CAROLINA,45,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.67
SURVEY,2013,SOUTH DAKOTA,46,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.05
SURVEY,2013,TENNESSEE,47,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.87
SURVEY,2013,TEXAS,48,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",5.14
SURVEY,2013,UTAH,49,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",5.47
SURVEY,2013,VIRGINIA,51,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.8
SURVEY,2013,WASHINGTON,53,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",5.29
SURVEY,2013,WEST VIRGINIA,54,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.7
SURVEY,2013,WISCONSIN,55,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.38
SURVEY,2013,WYOMING,56,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.08
SURVEY,2012,ALABAMA,1,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",7.18
SURVEY,2012,ARIZONA,4,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",7.84
SURVEY,2012,ARKANSAS,5,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",6.81
SURVEY,2012,CALIFORNIA,6,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",6.68
SURVEY,2012,COLORADO,8,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",6.86
SURVEY,2012,DELAWARE,10,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",7.55
SURVEY,2012,FLORIDA,12,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",7.5
SURVEY,2012,GEORGIA,13,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",7.9
SURVEY,2012,IDAHO,16,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",7.1
SURVEY,2012,ILLINOIS,17,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",6.87
SURVEY,2012,INDIANA,18,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",7.23
SURVEY,2012,IOWA,19,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",6.92
SURVEY,2012,KANSAS,20,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",7.04
SURVEY,2012,KENTUCKY,21,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",6.96
SURVEY,2012,LOUISIANA,22,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",6.9
SURVEY,2012,MARYLAND,24,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",7.3
SURVEY,2012,MICHIGAN,26,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",6.69
SURVEY,2012,MINNESOTA,27,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",6.67
SURVEY,2012,MISSISSIPPI,28,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",6.94
SURVEY,2012,MISSOURI,29,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",7.34
SURVEY,2012,MONTANA,30,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",7.21
SURVEY,2012,NEBRASKA,31,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",6.85
SURVEY,2012,NEW JERSEY,34,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",7.4
SURVEY,2012,NEW MEXICO,35,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",7.3
SURVEY,2012,NEW YORK,36,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",6.78
SURVEY,2012,NORTH CAROLINA,37,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",7.48
SURVEY,2012,NORTH DAKOTA,38,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",6.46
SURVEY,2012,OHIO,39,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",7.09
SURVEY,2012,OKLAHOMA,40,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",7.04
SURVEY,2012,OREGON,41,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",6.96
SURVEY,2012,PENNSYLVANIA,42,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",7.21
SURVEY,2012,SOUTH CAROLINA,45,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",7.5
SURVEY,2012,SOUTH DAKOTA,46,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",6.72
SURVEY,2012,TENNESSEE,47,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",7.28
SURVEY,2012,TEXAS,48,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",7.12
SURVEY,2012,UTAH,49,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",7.59
